age,male,female
0,0.993697653,0.994773571
1,0.999577314,0.999660937
2,0.999712565,0.999792462
3,0.999775055,0.999840785
4,0.999841835,0.999861146
5,0.999844459,0.999874428
6,0.999861544,0.999887042
7,0.999875636,0.999896378
8,0.999889589,0.999903308
9,0.999901796,0.999907621
10,0.999906023,0.999907981
11,0.999892139,0.999902104
12,0.999848443,0.999887306
13,0.999768105,0.999862063
14,0.99965861,0.999828337
15,0.999538672,0.999790011
16,0.999415839,0.99974979
17,0.999282421,0.99970745
18,0.999141402,0.999664338
19,0.998998513,0.999620965
20,0.998852929,0.999575549
21,0.998714058,0.999529425
22,0.998597167,0.999486901
23,0.998510007,0.999450015
24,0.998446181,0.99941732
25,0.998390808,0.999386541
26,0.99833634,0.999354311
27,0.9982867,0.999318269
28,0.998238453,0.999275506
29,0.998189693,0.999226234
30,0.998141242,0.999171541
31,0.998092542,0.999115267
32,0.998040803,0.999060493
33,0.997985871,0.999010764
34,0.997928373,0.998964454
35,0.997860985,0.998913353
36,0.997788666,0.998855802
37,0.997723185,0.998797082
38,0.997667069,0.998735928
39,0.997610164,0.998667595
40,0.997537354,0.998585754
41,0.997434476,0.998486993
42,0.997299021,0.998373673
43,0.997130307,0.998249667
44,0.99693395,0.998116654
45,0.996719888,0.997975229
46,0.996479897,0.997817389
47,0.99619608,0.997634074
48,0.995854024,0.997416154
49,0.995453114,0.99716373
50,0.995021704,0.996894998
51,0.994559069,0.996609492
52,0.994034904,0.996288543
53,0.993451472,0.995933827
54,0.99283008,0.995558739
55,0.992196818,0.995170681
56,0.991555337,0.994778994
57,0.990883816,0.99438671
58,0.990161913,0.993988615
59,0.989380677,0.993570907
60,0.98853009,0.993119559
61,0.987638705,0.992628801
62,0.986739659,0.99209661
63,0.985860263,0.991519071
64,0.984981134,0.990889131
65,0.984058294,0.990207019
66,0.982973568,0.989432271
67,0.981811272,0.988563509
68,0.980516836,0.987526255
69,0.97900958,0.986340927
70,0.977552002,0.985118771
71,0.975369088,0.983470768
72,0.973430445,0.981789736
73,0.970959509,0.979989016
74,0.968460664,0.978096921
75,0.965355534,0.97567803
76,0.961851701,0.97310142
77,0.957750298,0.970114376
78,0.95347821,0.966587245
79,0.948599223,0.962935098
80,0.943217225,0.958522033
81,0.937485859,0.953850232
82,0.930548057,0.948319171
83,0.922378436,0.94141281
84,0.91384463,0.934413791
85,0.904549502,0.927145049
86,0.894211724,0.918885298
87,0.881473005,0.908382431
88,0.867562532,0.896759398
89,0.852458924,0.883959375
90,0.836161107,0.869938716
91,0.818691745,0.854671091
92,0.800100252,0.838151842
93,0.780464619,0.820401713
94,0.759892404,0.801470488
95,0.738519788,0.78143917
96,0.716509074,0.760421097
97,0.69404462,0.738561034
98,0.671326935,0.716032594
99,0.648565888,0.693033367
